Tile Identifier,Acquisition Date,Tile Grid Region,Tile Grid Horizontal,Tile Grid Vertical,Tile Production Date,Cloud Cover,Cloud Shadow,Snow Ice,Fill (No Data),Spacecraft Identifier,Sensor Identifier,Scene Count,Datum,Map Projection,Units,ARD Version,Level-1 Collection Number,UL Corner Lat,UL Corner Long,UR Corner Lat,UR Corner Long,LR Corner Lat,LR Corner Long,LL Corner Lat,LL Corner Long,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LR Corner Lat dec,LR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,Display ID,Ordering ID,Browse Link
LC08_CU_003003_20180903_20180917_C01_V01,2018/09/03,CU,3,3,2018/09/17,16.274,2.9874,.0174,1.2645,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,01,01,44°41'17.09"N,121°16'45.91"W,46°21'24.46"N,121°16'45.91"W,46°21'24.46"N,123°39'10.66"W,44°41'17.09"N,123°39'10.66"W,44.6880805402,-121.279418402,46.35679328,-121.279418402,46.35679328,-123.652959903,44.6880805402,-123.652959903,LC08_CU_003003_20180903_20180917_C01_V01,LC08_CU_003003_20180903_20180917_C01_V01,https://earthexplorer.usgs.gov/browse-link/14320/LC08_CU_003003_20180903_C01_V01
LC08_CU_003003_20180827_20180917_C01_V01,2018/08/27,CU,3,3,2018/09/17,71.435,8.0525,.0008,63.6246,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,01,01,44°41'17.09"N,121°16'45.91"W,46°21'24.46"N,121°16'45.91"W,46°21'24.46"N,123°39'10.66"W,44°41'17.09"N,123°39'10.66"W,44.6880805402,-121.279418402,46.35679328,-121.279418402,46.35679328,-123.652959903,44.6880805402,-123.652959903,LC08_CU_003003_20180827_20180917_C01_V01,LC08_CU_003003_20180827_20180917_C01_V01,https://earthexplorer.usgs.gov/browse-link/14320/LC08_CU_003003_20180827_C01_V01
LC08_CU_003003_20180825_20180906_C01_V01,2018/08/25,CU,3,3,2018/09/06,98.049,1.9383,0,72.739,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,01,01,44°41'17.09"N,121°16'45.91"W,46°21'24.46"N,121°16'45.91"W,46°21'24.46"N,123°39'10.66"W,44°41'17.09"N,123°39'10.66"W,44.6880805402,-121.279418402,46.35679328,-121.279418402,46.35679328,-123.652959903,44.6880805402,-123.652959903,LC08_CU_003003_20180825_20180906_C01_V01,LC08_CU_003003_20180825_20180906_C01_V01,https://earthexplorer.usgs.gov/browse-link/14320/LC08_CU_003003_20180825_C01_V01
LE07_CU_003003_20180819_20180917_C01_V01,2018/08/19,CU,3,3,2018/09/17,4.2642,2.5759,.062,70.3304,LANDSAT_7,ETM,2,WGS84,AEA,METERS,01,01,44°41'17.09"N,121°16'45.91"W,46°21'24.46"N,121°16'45.91"W,46°21'24.46"N,123°39'10.66"W,44°41'17.09"N,123°39'10.66"W,44.6880805402,-121.279418402,46.35679328,-121.279418402,46.35679328,-123.652959903,44.6880805402,-123.652959903,LE07_CU_003003_20180819_20180917_C01_V01,LE07_CU_003003_20180819_20180917_C01_V01,https://earthexplorer.usgs.gov/browse-link/14320/LE07_CU_003003_20180819_C01_V01
LC08_CU_003003_20180818_20180906_C01_V01,2018/08/18,CU,3,3,2018/09/06,.1685,.0187,.0167,1.2647,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,01,01,44°41'17.09"N,121°16'45.91"W,46°21'24.46"N,121°16'45.91"W,46°21'24.46"N,123°39'10.66"W,44°41'17.09"N,123°39'10.66"W,44.6880805402,-121.279418402,46.35679328,-121.279418402,46.35679328,-123.652959903,44.6880805402,-123.652959903,LC08_CU_003003_20180818_20180906_C01_V01,LC08_CU_003003_20180818_20180906_C01_V01,https://earthexplorer.usgs.gov/browse-link/14320/LC08_CU_003003_20180818_C01_V01
LC08_CU_003003_20180811_20180911_C01_V01,2018/08/11,CU,3,3,2018/09/11,71.5842,4.6034,.0053,63.7243,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,01,01,44°41'17.09"N,121°16'45.91"W,46°21'24.46"N,121°16'45.91"W,46°21'24.46"N,123°39'10.66"W,44°41'17.09"N,123°39'10.66"W,44.6880805402,-121.279418402,46.35679328,-121.279418402,46.35679328,-123.652959903,44.6880805402,-123.652959903,LC08_CU_003003_20180811_20180911_C01_V01,LC08_CU_003003_20180811_20180911_C01_V01,https://earthexplorer.usgs.gov/browse-link/14320/LC08_CU_003003_20180811_C01_V01
LE07_CU_003003_20180810_20180911_C01_V01,2018/08/10,CU,3,3,2018/09/11,.2548,.0487,.0121,18.7377,LANDSAT_7,ETM,2,WGS84,AEA,METERS,01,01,44°41'17.09"N,121°16'45.91"W,46°21'24.46"N,121°16'45.91"W,46°21'24.46"N,123°39'10.66"W,44°41'17.09"N,123°39'10.66"W,44.6880805402,-121.279418402,46.35679328,-121.279418402,46.35679328,-123.652959903,44.6880805402,-123.652959903,LE07_CU_003003_20180810_20180911_C01_V01,LE07_CU_003003_20180810_20180911_C01_V01,https://earthexplorer.usgs.gov/browse-link/14320/LE07_CU_003003_20180810_C01_V01
LE07_CU_003003_20180803_20180917_C01_V01,2018/08/03,CU,3,3,2018/09/17,82.1645,1.3549,.0318,70.3609,LANDSAT_7,ETM,2,WGS84,AEA,METERS,01,01,44°41'17.09"N,121°16'45.91"W,46°21'24.46"N,121°16'45.91"W,46°21'24.46"N,123°39'10.66"W,44°41'17.09"N,123°39'10.66"W,44.6880805402,-121.279418402,46.35679328,-121.279418402,46.35679328,-123.652959903,44.6880805402,-123.652959903,LE07_CU_003003_20180803_20180917_C01_V01,LE07_CU_003003_20180803_20180917_C01_V01,https://earthexplorer.usgs.gov/browse-link/14320/LE07_CU_003003_20180803_C01_V01
LC08_CU_003003_20180802_20180911_C01_V01,2018/08/02,CU,3,3,2018/09/11,76.8791,.6137,.0187,1.2198,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,01,01,44°41'17.09"N,121°16'45.91"W,46°21'24.46"N,121°16'45.91"W,46°21'24.46"N,123°39'10.66"W,44°41'17.09"N,123°39'10.66"W,44.6880805402,-121.279418402,46.35679328,-121.279418402,46.35679328,-123.652959903,44.6880805402,-123.652959903,LC08_CU_003003_20180802_20180911_C01_V01,LC08_CU_003003_20180802_20180911_C01_V01,https://earthexplorer.usgs.gov/browse-link/14320/LC08_CU_003003_20180802_C01_V01
LC08_CU_003003_20180726_20180911_C01_V01,2018/07/26,CU,3,3,2018/09/11,.2676,.0388,.044,64.2489,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,01,01,44°41'17.09"N,121°16'45.91"W,46°21'24.46"N,121°16'45.91"W,46°21'24.46"N,123°39'10.66"W,44°41'17.09"N,123°39'10.66"W,44.6880805402,-121.279418402,46.35679328,-121.279418402,46.35679328,-123.652959903,44.6880805402,-123.652959903,LC08_CU_003003_20180726_20180911_C01_V01,LC08_CU_003003_20180726_20180911_C01_V01,https://earthexplorer.usgs.gov/browse-link/14320/LC08_CU_003003_20180726_C01_V01
