Tile Identifier,Acquisition Date,Tile Grid Region,Tile Grid Horizontal,Tile Grid Vertical,Tile Production Date,Cloud Cover,Cloud Shadow,Snow Ice,Fill (No Data),Spacecraft Identifier,Sensor Identifier,Scene Count,Datum,Map Projection,Units,ARD Version,Level-1 Collection Number,UL Corner Lat,UL Corner Long,UR Corner Lat,UR Corner Long,LR Corner Lat,LR Corner Long,LL Corner Lat,LL Corner Long,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LR Corner Lat dec,LR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,Display ID,Ordering ID,Browse Link
LT05_CU_003003_19950904_20170915_C01_V01,1995/09/04,CU,3,3,2017/09/15,55.6741,12.9135,.0228,27.094,LANDSAT_5,TM,1,WGS84,AEA,METERS,01,01,44°41'17.09"N,121°16'45.91"W,46°21'24.46"N,121°16'45.91"W,46°21'24.46"N,123°39'10.66"W,44°41'17.09"N,123°39'10.66"W,44.6880805402,-121.279418402,46.35679328,-121.279418402,46.35679328,-123.652959903,44.6880805402,-123.652959903,LT05_CU_003003_19950904_20170915_C01_V01,LT05_CU_003003_19950904_20170915_C01_V01,https://earthexplorer.usgs.gov/browse-link/14320/LT05_CU_003003_19950904_C01_V01
LT05_CU_003003_19951116_20170916_C01_V01,1995/11/16,CU,3,3,2017/09/16,63.0762,7.8949,1.8668,67.5839,LANDSAT_5,TM,2,WGS84,AEA,METERS,01,01,44°41'17.09"N,121°16'45.91"W,46°21'24.46"N,121°16'45.91"W,46°21'24.46"N,123°39'10.66"W,44°41'17.09"N,123°39'10.66"W,44.6880805402,-121.279418402,46.35679328,-121.279418402,46.35679328,-123.652959903,44.6880805402,-123.652959903,LT05_CU_003003_19951116_20170916_C01_V01,LT05_CU_003003_19951116_20170916_C01_V01,https://earthexplorer.usgs.gov/browse-link/14320/LT05_CU_003003_19951116_C01_V01
LT05_CU_003003_19950929_20170916_C01_V01,1995/09/29,CU,3,3,2017/09/16,97.4946,1.3394,.0141,53.4056,LANDSAT_5,TM,2,WGS84,AEA,METERS,01,01,44°41'17.09"N,121°16'45.91"W,46°21'24.46"N,121°16'45.91"W,46°21'24.46"N,123°39'10.66"W,44°41'17.09"N,123°39'10.66"W,44.6880805402,-121.279418402,46.35679328,-121.279418402,46.35679328,-123.652959903,44.6880805402,-123.652959903,LT05_CU_003003_19950929_20170916_C01_V01,LT05_CU_003003_19950929_20170916_C01_V01,https://earthexplorer.usgs.gov/browse-link/14320/LT05_CU_003003_19950929_C01_V01
LT05_CU_003003_19951006_20170916_C01_V01,1995/10/06,CU,3,3,2017/09/16,79.7597,7.0466,.0819,4.6532,LANDSAT_5,TM,2,WGS84,AEA,METERS,01,01,44°41'17.09"N,121°16'45.91"W,46°21'24.46"N,121°16'45.91"W,46°21'24.46"N,123°39'10.66"W,44°41'17.09"N,123°39'10.66"W,44.6880805402,-121.279418402,46.35679328,-121.279418402,46.35679328,-123.652959903,44.6880805402,-123.652959903,LT05_CU_003003_19951006_20170916_C01_V01,LT05_CU_003003_19951006_20170916_C01_V01,https://earthexplorer.usgs.gov/browse-link/14320/LT05_CU_003003_19951006_C01_V01
LT05_CU_003003_19951202_20170916_C01_V01,1995/12/02,CU,3,3,2017/09/16,77.3741,7.5227,13.1225,73.3172,LANDSAT_5,TM,2,WGS84,AEA,METERS,01,01,44°41'17.09"N,121°16'45.91"W,46°21'24.46"N,121°16'45.91"W,46°21'24.46"N,123°39'10.66"W,44°41'17.09"N,123°39'10.66"W,44.6880805402,-121.279418402,46.35679328,-121.279418402,46.35679328,-123.652959903,44.6880805402,-123.652959903,LT05_CU_003003_19951202_20170916_C01_V01,LT05_CU_003003_19951202_20170916_C01_V01,https://earthexplorer.usgs.gov/browse-link/14320/LT05_CU_003003_19951202_C01_V01
LT05_CU_003003_19960110_20170916_C01_V01,1996/01/10,CU,3,3,2017/09/16,57.0846,9.6533,5.5284,1.0963,LANDSAT_5,TM,2,WGS84,AEA,METERS,01,01,44°41'17.09"N,121°16'45.91"W,46°21'24.46"N,121°16'45.91"W,46°21'24.46"N,123°39'10.66"W,44°41'17.09"N,123°39'10.66"W,44.6880805402,-121.279418402,46.35679328,-121.279418402,46.35679328,-123.652959903,44.6880805402,-123.652959903,LT05_CU_003003_19960110_20170916_C01_V01,LT05_CU_003003_19960110_20170916_C01_V01,https://earthexplorer.usgs.gov/browse-link/14320/LT05_CU_003003_19960110_C01_V01
LT05_CU_003003_19950913_20170916_C01_V01,1995/09/13,CU,3,3,2017/09/16,6.968,3.9517,.0669,53.762,LANDSAT_5,TM,2,WGS84,AEA,METERS,01,01,44°41'17.09"N,121°16'45.91"W,46°21'24.46"N,121°16'45.91"W,46°21'24.46"N,123°39'10.66"W,44°41'17.09"N,123°39'10.66"W,44.6880805402,-121.279418402,46.35679328,-121.279418402,46.35679328,-123.652959903,44.6880805402,-123.652959903,LT05_CU_003003_19950913_20170916_C01_V01,LT05_CU_003003_19950913_20170916_C01_V01,https://earthexplorer.usgs.gov/browse-link/14320/LT05_CU_003003_19950913_C01_V01
LT05_CU_003003_19951114_20170916_C01_V01,1995/11/14,CU,3,3,2017/09/16,89.4357,4.2393,.4947,70.2652,LANDSAT_5,TM,2,WGS84,AEA,METERS,01,01,44°41'17.09"N,121°16'45.91"W,46°21'24.46"N,121°16'45.91"W,46°21'24.46"N,123°39'10.66"W,44°41'17.09"N,123°39'10.66"W,44.6880805402,-121.279418402,46.35679328,-121.279418402,46.35679328,-123.652959903,44.6880805402,-123.652959903,LT05_CU_003003_19951114_20170916_C01_V01,LT05_CU_003003_19951114_20170916_C01_V01,https://earthexplorer.usgs.gov/browse-link/14320/LT05_CU_003003_19951114_C01_V01
LT05_CU_003003_19951031_20170916_C01_V01,1995/10/31,CU,3,3,2017/09/16,.5457,.2022,.183,61.3628,LANDSAT_5,TM,2,WGS84,AEA,METERS,01,01,44°41'17.09"N,121°16'45.91"W,46°21'24.46"N,121°16'45.91"W,46°21'24.46"N,123°39'10.66"W,44°41'17.09"N,123°39'10.66"W,44.6880805402,-121.279418402,46.35679328,-121.279418402,46.35679328,-123.652959903,44.6880805402,-123.652959903,LT05_CU_003003_19951031_20170916_C01_V01,LT05_CU_003003_19951031_20170916_C01_V01,https://earthexplorer.usgs.gov/browse-link/14320/LT05_CU_003003_19951031_C01_V01
LT05_CU_003003_19951015_20170916_C01_V01,1995/10/15,CU,3,3,2017/09/16,2.6357,.571,.3995,53.6362,LANDSAT_5,TM,2,WGS84,AEA,METERS,01,01,44°41'17.09"N,121°16'45.91"W,46°21'24.46"N,121°16'45.91"W,46°21'24.46"N,123°39'10.66"W,44°41'17.09"N,123°39'10.66"W,44.6880805402,-121.279418402,46.35679328,-121.279418402,46.35679328,-123.652959903,44.6880805402,-123.652959903,LT05_CU_003003_19951015_20170916_C01_V01,LT05_CU_003003_19951015_20170916_C01_V01,https://earthexplorer.usgs.gov/browse-link/14320/LT05_CU_003003_19951015_C01_V01
